segment_id,building_dist_m
STR_001,47.84
STR_002,57.64
STR_003,19.34
STR_004,37.69
STR_005,23.16
STR_006,17.54
STR_007,27.75
STR_008,82.51
STR_009,43.78
STR_010,35.92
STR_011,56.59
STR_012,73.11
STR_013,103.86
STR_014,94.14
STR_015,252.92
STR_016,427.07
STR_017,339.99
STR_018,165.91
STR_019,138.88
STR_020,133.93
STR_021,26.27
STR_022,21.99
STR_023,26.57
STR_024,15.76
STR_025,35.01
STR_026,7.81
STR_027,35.6
STR_028,27.6
STR_029,17.75
STR_030,40.57
STR_031,76.19
STR_032,23.33
STR_033,181.77
STR_034,334.95
STR_035,249.02
STR_036,233.24
STR_037,249.59
STR_038,86.64
STR_039,28.9
STR_040,14.43
STR_041,92.99
STR_042,41.55
STR_043,13.47
STR_044,186.83
STR_045,232.03
STR_046,165.43
STR_047,28.0
STR_048,174.24
STR_049,59.1
STR_050,213.87
STR_051,172.36
STR_052,133.04
STR_053,20.12
STR_054,30.53
STR_055,76.08
STR_056,25.17
STR_057,9.98
STR_058,26.77
STR_059,16.55
STR_060,18.13
STR_061,117.84
STR_062,211.09
STR_063,364.82
STR_064,250.0
STR_065,89.96
STR_066,139.27
STR_067,109.12
STR_068,22.82
STR_069,177.18
STR_070,362.77
STR_071,211.27
STR_072,17.12
STR_073,167.48
STR_074,104.45
STR_075,136.94
STR_076,64.7
STR_077,76.72
STR_078,15.62
STR_079,26.87
STR_080,59.77
STR_081,26.6
