segment_id,in_lsg,excluded
STR_001,False,False
STR_002,False,False
STR_003,False,False
STR_004,False,False
STR_005,False,False
STR_006,False,False
STR_007,False,False
STR_008,False,False
STR_009,False,False
STR_010,False,False
STR_011,False,False
STR_012,False,False
STR_013,True,True
STR_014,True,True
STR_015,True,True
STR_016,False,False
STR_017,False,False
STR_018,False,False
STR_019,False,False
STR_020,False,False
STR_021,False,False
STR_022,False,False
STR_023,False,False
STR_024,False,False
STR_025,False,False
STR_026,False,False
STR_027,False,False
STR_028,False,False
STR_029,False,False
STR_030,False,False
STR_031,False,False
STR_032,True,True
STR_033,True,True
STR_034,True,True
STR_035,True,True
STR_036,True,True
STR_037,True,True
STR_038,True,True
STR_039,True,True
STR_040,True,True
STR_041,True,True
STR_042,True,True
STR_043,True,True
STR_044,True,True
STR_045,True,True
STR_046,True,True
STR_047,True,True
STR_048,True,True
STR_049,True,True
STR_050,False,False
STR_051,False,False
STR_052,False,False
STR_053,False,False
STR_054,False,False
STR_055,False,False
STR_056,False,False
STR_057,False,False
STR_058,False,False
STR_059,False,False
STR_060,False,False
STR_061,False,False
STR_062,False,False
STR_063,False,False
STR_064,False,False
STR_065,False,False
STR_066,False,False
STR_067,False,False
STR_068,False,False
STR_069,False,False
STR_070,False,False
STR_071,False,False
STR_072,False,False
STR_073,False,False
STR_074,False,False
STR_075,False,False
STR_076,False,False
STR_077,False,False
STR_078,False,False
STR_079,False,False
STR_080,False,False
STR_081,False,False
